,Question,,,,Response,
10,ତଳି କେତେ ଦିନ ହୋଇ ଗଲେ ମୁଁ ରୋଇ ପାରିବି?,How long can I cry if it's been a while?,Cultivation Practices,Transplanting,ଆପଣ ଧାନ ତଳି କେତେ ଦିନ ଭିତରେ ରୋଇବା କଥା ବୋଲି ପଚାରିଥିଲେ। ଧାନ କିସମ ଯେତେ ମାସର ହୋଇଥାଏ ସେତେ ସପ୍ତାହ ର ତଳି ରୋଇବା କଥା। କିନ୍ତୁ ଆମେ ଯଦି 20-25 ଦିନ ଭିତରେ ତଳି ରୋଇବା ତେବେ ଗଛ ହୃଷ୍ଟ ପୃଷ୍ଟ ହୋଇ ବଢିଥାଏ ଏବଂ ପିଲ ସଂଖ୍ୟା ବେଶୀ ହୋଇ ଥାଏ। ,"You asked how long the rice should be soaked. It is important to weed for as many weeks as the variety of rice. But if we sow the seeds within 20-25 days, the tree grows and the number of seedlings is high."
11,ରବି ଋତୁରେ ଡାଳୁଅ ଧାନ ର ତଳି ପକେଇବା ପାଇଁ ପ୍ରଣାଳୀ ଉପରେ କୁହନ୍ତୁ? ,Tell about the procedure for threshing of pulses in Rabi season?,Nursery Preparation,,"ଆପଣ ତଳି କେମିତି ପକେଇବେ ବୋଲି ପ୍ରଶ୍ନ କରି ଥିଲେ । ଡାଳୁଅ ଧାନ ପାଇଁ କାଦୁଅ ତଳିଘେରା ଅତ୍ୟନ୍ତ ଉପଯୋଗୀ। ଏକ ଏକର ପାଇଁ ଧାନ ଚାଷ ପାଇଁ 10 ଡେସିମିଲ ଜାଗା ତଳି ଦରକାର ପଡି ଥାଏ। ପ୍ରଥମେ ତଳି ଘେରା ପାଇଁ ନିର୍ବାଚିତ ଜମି ରେ ପାଣି ମଡାଇ 3-4 ଓଡ ଚାଷ କରି 3-4 ଦିନ ପର୍ଯନ୍ତ ପାଣି ବାନ୍ଧି ରଖନ୍ତୁ।  ତଳି ପକେଇବା ଆଗରୁ ବିହନ କୁ Carbendazim କିମ୍ବା vitavax ଔଷଧ 2 ଗ୍ରାମ ପ୍ରତି କିଲୋଗ୍ରାମ ବିହନ ରେ କିମ୍ବା captan କିମ୍ବା thiram ଔଷଧ କୁ 3 ଗ୍ରାମ ପ୍ରତି କେଜି ବିହନ ରେ  ମିଶାଇ ବିଶୋଧନ କରନ୍ତୁ। 200 କେଜି କୋମ୍ପୋଷ୍ଟ କିମ୍ବା ଶଢା ଗୋବର ଖତ, 4 କେଜି DAP, 2.5 କେଜି ପଟାସ ଏବଂ 1 କେଜି ଜିଙ୍କ ସଲଫେଟ ଅଣୁସାର ଶେଷ କାଦୁଅ କରିବା ସମୟ ରେ ପ୍ରୟୋଗ କରନ୍ତୁ।1.25 ରୂ 1.5 ମିଟର ପ୍ରସ୍ଥ ବିଶିଷ୍ଟ ପଟାଳି କରାଯାଏ। ଯାହାର ଉଚତା 10 ସିଏମ ରହେ ଏବଂ ଦୁଇ ତଳି ପଟାଳି ମଧ୍ୟରେ 30 ସିଏମ ବ୍ୟବଧାନ ରଖାଯାଏ।  ବିଶୋଧିତ ଧାନ ବିହନ କୁ 24 ଘଣ୍ଟା ପାଣି ରେ ଭିଜାଇବା ପରେ ଗୋଟିଏ ଛାଇ ଜାଗାରେ ପାଲ ଉପରେ ଗଡାଇ ଓଦା ବସ୍ତା କିମ୍ବା ପାଳ ଘୋଡାଇ ରଖନ୍ତୁ। ଧାନ ଗଜା ହେଲା ପରେ ଗଜା ଧାନ କୁ ତଳି ଘେରା ରେ ସିଧା ବୁଣନ୍ତୁ କିମ୍ବା ଧାଡି ରେ 5 ସିଏମ ବ୍ୟବଧାନ ରେ ବୁଣନ୍ତୁ। 15 ଦିନ ବେଳକୁ 4 କେଜି ୟୁରିଆ ସାର ପ୍ରୟୋଗ କରନ୍ତୁ।","You were wondering how to cook the rice. Mud threshing is very useful for pulses. An acre of paddy requires 10 decimils of land. First, water the land selected for planting, cultivate 3-4 yards and keep water for 3-4 days. Before sowing, treat the seeds with Carbendazim or Vitavax at 2 grams per kg of seeds or captan or thiram at 3 grams per kg of seeds. Apply 200 kg of compost or cow dung, 4 kg of DAP, 2.5 kg of potash and 1 kg of zinc sulphate particles at the time of final mud application. The height of which is 10 cm and a gap of 30 cm is kept between the two floor boards. After soaking the treated paddy seeds in water for 24 hours, spread them on straw in a shady place and cover them with a wet sack or straw. After the paddy has germinated, sow the paddy directly in the paddy field or at 5 cm spacing in rows. Apply 4 kg of urea fertilizer at 15 days."
12,"ଡାଲୁଆ ଧାନ ରେ ଏକର ପ୍ରତି କେତେ ମଞ୍ଜି ଲଗେଇବାକୁ ପଡିବ, ଆଜ୍ଞା କିଛି କୁହନ୍ତୁ?",How many seeds should be planted per acre in Dalua paddy?,Seeds and Sowing,Seed Rate,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଡାଳୁଅ ଧାନ ରେ ଏକର ପ୍ରତି କେତେ ମଞ୍ଜି ଲଗେଇବାକୁ ପଡିବ । ଏକର ପ୍ରତି 18 ରୁ 20 kg ଅଧିକ ଅମଳକ୍ଷ୍ୟମ କେଜି ବିହନ ତଳି ପକେଇବା ପାଇଁ ଲାଗିଥାଏ। ହାଇବ୍ରିଡ ବା ଶଙ୍କର ଧାନ ପାଇଁ 6 କେଜି ବିହନ ଦରକାର ପଡେ। ,Your question was how many seeds should be planted per acre in pulses. 18 to 20 kg of high yielding kg of seed per acre is required for ripening. 6 kg of seed is required for hybrid or Shankar paddy.
13,ଧାନ ରେ ମୂଳ ସାର ବିଷୟ ରେ ବିବରଣୀ ଦିଅନ୍ତୁ?,Give details about root fertilizer in paddy?,Fertilizer Management,Basal Fertlizer,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ ମୂଳ ସାର କଣ ଦେବେ। ତେବେ ଜାଣି ରଖନ୍ତୁ ଧାନରେ ମୂଳ ସାର ହିସାବରେ ଧାନ ରୋଇବା ପୂର୍ବରୁ ଶେଷ କାଦୁଅ କରିବା ସମୟ ରେ 35କେଜି ଡ଼ିଏପି ସାର ,27 କେଜି ପଟାସ ସାର, 10 କେଜି ଜିଙ୍କ ସଲଫେଟ ସାର ଏକ ଏକର ଜମିରେ ପ୍ରୟୋଗ କରନ୍ତୁ ।ଧାନ ରୋଇବା ପୂର୍ବରୁ 8 କେଜି ୟୁରିଆ ସାର ପ୍ରୟୋଗ କରନ୍ତୁ।","Your question was what to give root fertilizer in paddy. So, know that as root fertilizer in paddy, apply 35 kg of DAP fertilizer, 27 kg of potash fertilizer, 10 kg of zinc sulfate fertilizer in one acre of land before sowing of paddy. Apply 8 kg of urea fertilizer before sowing of paddy."
14,ଧାନ ରେ ପିଲ ସାର ଦେବି ଏବଂ କିଛି ସାର ନା ଗୁଡିକ କୁହନ୍ତୁ। ,Fertilize the paddy and add some fertilizer.,Fertilizer Management,First top dressing Fertilizer,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ର ପିଲ ସାର ଉପରେ। ତେବେ ଜାଣି ରଖନ୍ତୁ ଧାନ ରୋଇବା ର 20-25 ଦିନ ମଧ୍ୟରେ ପିଲ ସାର ଭାବରେ 35 କେଜି urea ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ।,Your question was on paddy straw fertilizer. So remember to apply 35 kg urea per acre as seed fertilizer within 20-25 days of paddy germination.
15,ଧାନ ଚାଷ କରିବା ପୂର୍ବରୁ ମାଟି ପରୀକ୍ଷା ଜରୁରୀ କି? ,Is soil testing necessary before planting rice?,Soil Testing,,ଜାଣି ରଖନ୍ତୁ ମାଟି ପରୀକ୍ଷା ନିହାତି ଜରୁରୀ।ମାଟି ପରୀକ୍ଷା କରିବା ଦ୍ଵାରା ମାଟି ର ଉର୍ବରତା ଏବଂ ଅନ୍ୟାନ୍ୟ ଗୁଣ ଗୁଡିକ ଜଣା ପଡି ଥାଏ। ସେହି ଅନୁସାରେ ଅନୁମୋଦିତ ଖତ ସାର କୁ ପ୍ରୟୋଗ କଲେ ସଠିକ ଅମଳ ମିଳି ଥାଏ । ଏହି ସମୟ ଟି ମାଟି ପରୀକ୍ଷା କରିବା ପାଇଁ ଅନୁକୂଳ। ଆପଣ ମାଟି ର ନମୁନା ସଂଗ୍ରହ କରି ନିକଟସ୍ଥ କୃଷି ବିଭାଗ ର ମୃତ୍ତିକା ପରିକ୍ଷାଗାର କିମ୍ବା କୃଷି ବିଜ୍ଞାନ କେନ୍ଦ୍ର ରେ ପରିକ୍ଷା କରି ପାରିବେ।,Know that soil testing is very important. Soil testing helps to know the fertility and other properties of the soil. Appropriate application of approved fertilizers will result in proper yield. This time is favorable for soil testing. You can collect soil samples and test them at the nearest Department of Agriculture Soil Observatory or Agricultural Science Center.
16,ପୂଜା ଧାନ ଲଗେଇଛି ଏବଂ ଧାନ ଫସଲ ଭଲ ଭାବ ରେ ଫଳିନାହି ତେବେ କେଉଁ ସାର ପ୍ରୋଯୋଗ କରିବି।,Pooja has planted paddy and the paddy crop is not yielding well then what fertilizer should I apply.,Nutrient Management,Fertilizer Dose,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ପୂଜା ଧାନ ଲଗେଇଛିନ୍ତି ଏବଂ ଏବଂ କେଉଁ ସାର ପ୍ରୋଯୋଗ କରିବେ । ତେବେ ଜାଣି ରଖନ୍ତୁ ଧାନ ତଳି ଲଗେଇବାର 25 ରୁ 25 ଦିନ ମଧ୍ୟରେ 35 କେଜି ୟୁରିଆ ସାର ସହ 12 କେଜି ପଟାସ ସାର ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ ।ମନେ ରଖନ୍ତୁ ସାର ପ୍ରୟୋଗ କରିବା ପୂର୍ବରୁ ଜମି ରୁ ଘାସ ବାଛି ଦିଅନ୍ତୁ।  ,Your question was Pooja planted paddy and what fertilizer to apply. So remember to apply 35 kg of urea fertilizer and 12 kg of potash fertilizer per acre within 25 to 25 days of planting paddy. Remember to remove the grass from the land before applying the fertilizer.
17,ଧାନ ଗଛ ହଳଦିଆ ପଡିଯାଉଛି କିପରି ନିୟନ୍ତ୍ରଣ କରିବାକୁ ହେବ? ,How to control the yellowing of rice plants?,Nutrient Management,,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ହଳଦିଆ ପଡିଯାଉଛି, ଆପଣଙ୍କ ସହ କଥା ହେବ ପରେ ଜାଣିବାକୁ ପାଇଲୁ ଏହା ସାର ଅଭାବ ରୁ ହୋଇଅଛି ।ତେଣୁ ମଲ୍ଟି କେ ନାମକ ପତ୍ର ସିଞ୍ଚିତ ସାର ଯେଉଁଥିରେ ଏନପିକେ -13:0:45 ଅଛି 5 ଗ୍ରାମ 1 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ ।","Your question was that the paddy is turning yellow, after talking to you I found out that it is due to lack of fertilizer. So foliar fertilizer called Multi K which contains NPK-13:0:45 mix 5 grams in 1 liter of water and sprinkle."
18,କେଣ୍ଡା ବାହାରିବା ସମୟ ରେ କଣ ସାର ଦିଆଯିବ ।,What fertilizer will be given at the time of the emergence of kenda.,Fertilizer Management,Second Top dressing fertilizer,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନର ଥୋଡ ସାର ଉପରେ। ଯଦି ଧାନ ତଳି ଲଗାଇବାର 60 ରୁ 65 ଦିନ ହେଇ ଯାଇ ଥାଏ ତେବେ ୟୁରିଆ 20 କେଜି ଥୋଡ ସାର ଭାବେ ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ ।,"Your question was about thod fertilizer of paddy. If it is 60 to 65 days after planting, apply urea 20 kg thod fertilizer per acre."
19,ଧାନରେ କଣ କଣ ଥୋଡ ସାର ହିସାବରେ ଦିଆଯାଏ? ,What kind of fertilizer is given in paddy?,Fertilizer Management,Second Top dressing fertilizer,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନର ଥୋଡ ସାର ଉପରେ। ଯଦି ଧାନ ତଳି ଲଗାଇବାର 60 ରୁ 65 ଦିନ ହେଇ ଯାଇ ଥାଏ ତେବେ ୟୁରିଆ 20 କେଜି ଥୋଡ ସାର ଭାବେ ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ । ହାଲୁକା ଜମି ପାଇଁ ୟୁରିଆ ସହ 14 କେଜି ପଟାଶ ସାର ଥୋଡ ସାର ପ୍ରୟୋଗ କରି ପାରିବେ। ,"Your question was about thod fertilizer of paddy. If it is 60 to 65 days after planting, apply urea 20 kg thod fertilizer per acre. For light soil, 14 kg Pash fertilizer with urea can be applied."
20,ଧାନ ରେ ଜୈବିକ ସାର ନା ରାସାୟନିକ ସାର ପ୍ରୟୋଗ କରିବି କିଛି କୁହନ୍ତୁ।  ,Tell me whether to apply organic fertilizers or chemical fertilizers to paddy.,Nutrient Management,,ଧାନରେ ଜୈବିକ ସାର ସହ ରସାୟନିକ ସାର କୁ ବ୍ୟବହାର କରିବା ନିହାତି ଜରୁରୀ। ଯଦି ଆପଣ ଜୈବିକ ସାର ବ୍ୟବହାର କରିବେ ତେବେ ଅଧିକ ଅମଳ ମିଳିବ ନାହି। ସେଥିପାଇଁ ଦୁଇଟି ସାରର ବ୍ୟବହାର କରନ୍ତୁ ଅଧିକ ଅମଳ ମିଳିବ ।,It is imperative to use chemical fertilizers along with organic fertilizers in paddy. If you use organic fertilizers you will not get high yield. So use two fertilizers to get more yield.
21,ଧାନ ତଳି ପକେଇବାକୁ ଯାଉଛି। ଗୋଟେ ପକେଟ ଧାନ ବିହନ ତଳି ପକେଇବା ପାଇଁ କେତେ ସାର ଖତ ଦରକାର। ,The rice is about to be threshed. How much fertilizer is required to germinate a bag of paddy seeds?,Nursery Preparation,Fertilizer Dose,"ଏକ ଏକର ଧାନ ଚାଷ ପାଇଁ 10 ଡେସିମିଲ ଜାଗାର ତଳି ଘେରା ପ୍ରସ୍ତୁତ କରନ୍ତୁ । ସେହି ତଳି ଘେରାରେ 200 କେଜି କମ୍ପୋଷ୍ଟ କିମ୍ବା ଶଢା ଗୋବର ଖତ, 4 କେଜି ଡ଼ିଏପି, 2.5 କେଜି ପଟାସ ଏବଂ 1 କେଜି ଜିଙ୍କ ସଲଫେଟ ବା ଦସ୍ତା ଅଣୂସାର ଜମି ପ୍ରସ୍ତୁତି ବେଳେ ପ୍ରୟୋଗ କରନ୍ତୁ, ତଳି 13 ଦିନ ର ହୋଇଗଲେ 3 କେଜି ୟୁରିଆ ସାର ପ୍ରୋୟୋଗ କରନ୍ତୁ।","Prepare a plot of 10 decimils for one acre of paddy cultivation. Apply 200 kg of compost or cow dung, 4 kg of DAP, 2.5 kg of potash and 1 kg of zinc sulphate or dasta anusar to that plant during land preparation, apply 3 kg of urea fertilizer when the plant is 13 days old."
22,ସାର୍ ମୁଁ ପାଣି ଅଭାବରୁ ଥୋଡ ସାର ଦେଇପାରିନା। ଏବେ ଥୋଡ ସାର ଦେଲେ ଚଳିବ କି । ,Sir I could not give thod fertilizer due to lack of water. Now Thod Sar Dei will run.,Fertilizer Management,Second Top dressing fertilizer,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନରେ ଥୋଡ ସାର ଦେବେ ନା ନାଇ। ତେବେ ଜାଣି ରଖନ୍ତୁ ଯଦି ଧାନ ଗଛ 60 ରୁ 65 ଦିନର ହେଇଯାଇଛି ତେବେ ବିଳମ୍ବ କିସମ ପାଇଁ 17 କେଜି ୟୁରିଆ ସାର ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ । ,"Your question was whether to apply thod fertilizer in paddy or not. So, if the paddy plant is 60 to 65 days old, apply 17 kg urea fertilizer per acre for late varieties."
23,କେଣ୍ଡା ବାହାରିବା ସମୟ ରେ କଣ ସାର ଦିଆଯିବ । ,What fertilizer will be given at the time of the emergence of kenda.,Fertilizer Management,Second Top dressing fertilizer,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନର ଥୋଡ ସାର ଉପରେ। ଯଦି ଧାନ ତଳି ଲଗାଇବାର 65-70 ଦିନ ହେଇଯାଇ ଥାଏ ତେବେ ବିଳମ୍ବ କିସମ ପାଇଁ ୟୁରିଆ 17 କେଜି ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ ।ହାଲୁକା ମାଟି ବା ବାଳିଆ ମାଟି ଜମି ରେ 50 ପ୍ରତିଶତ ପଟାଶ ସାର (13.5 କେଜି) ୟୁରିଆ ସହିତ ପ୍ରୟୋଗ କରନ୍ତୁ। ,Your question was about thod fertilizer of paddy. Apply urea 17 kg per acre for late varieties if 65-70 days after planting. Apply 50 percent humus (13.5 kg) with urea on light soil or sandy loam land.
24,ଧାନ ବିହନ କେମିତି ସଂଗ୍ରହ କରା ହେବ ଏବଂ କେମିତି ରଖା ହେବ। ,How to collect rice seeds and how to store them.,Harvesting Management,Storage management,ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ବିହନ କେମିତି ସଂଗ୍ରହ କରାହେବ  ଏବଂ କିପରି ରଖା ହେବ। କେଣ୍ଡା ର 80 ରୁ 85 ଭାଗ ପାଚି ଗଲେ ଧାନ କୁ କାଟି ଧାନ କଟା ଯନ୍ତ୍ର କିମ୍ବା ବଳଦ ପାଦ ରେ ଧାନ କୁ ଅମଳ କରନ୍ତୁ। 5 ରୁ 6 ଦିନ ପର୍ଯ୍ୟନ୍ତ ଏହି ଧାନ କୁ ସକାଳ 7 ଟା ରୁ 10 ଟା ମଧ୍ୟ ରେ ପଡୁଥିବା ଖରା ରେ ଶୁଖାନ୍ତୁ । ତାପରେ ଅମାର ଘରେ ସାଇତି ରଖନ୍ତୁ। ଅମାର ଘରେ ରଖିବା ପୂର୍ବରୁ ଘରର  କବାଟ ଝରକା କାନ୍ଥ ମାନଙ୍କରେ ରେ ଥିବା ଫାଟ କୁ ମାଟି କିମ୍ବା ସିମେଣ୍ଟ ଦ୍ଵାରା ବନ୍ଦ କରିଦିଅନ୍ତୁ। ସଫା କରିବା ପରେ 100 ବର୍ଗ ମିଟର ଜାଗା ପାଇଁ 250 ଗ୍ରାମ Malathion 5 % WP ଗୁଣ୍ଡ କାନ୍ଥ ଓ ଛାତ ରେ ବିଞ୍ଚିଦିଅନ୍ତୁ । ଧାନ ରଖିବା ପାଇଁ ଖାଲି ବସ୍ତା କୁ ଧୋଇ ଟାଣ ଖରା ରେ ଶୁଖାଇ ବାୟୁରୁଦ୍ଧ କରି ଅମାର ଘରେ ରଖନ୍ତୁ । ଅମାର ଘରେ ଯେତେ ବାୟୁରୁଦ୍ଧ ହୋଇପାରିବ ସେତେ ଭଲ କାରଣ ଅମ୍ଳଜାନ ଅଭାବ ରୁ ପୋକମାନେ ବଂଶ ବିସ୍ତାର କରି ପାରିବେ ନାହିଁ,"Your question was how to collect rice seeds and how to store them. When 80 to 85 parts of the kenda are ripe, cut the paddy and harvest the paddy with thresher or ox foot. Dry this paddy for 5 to 6 days in the morning between 7 am and 10 am. Then keep it in the barn. Before placing the barn in the barn, seal the cracks in the walls, doors, windows, and walls with soil or cement. After cleaning, spread 250 grams of Malathion 5% WP on walls and ceilings for 100 square meters of space. Wash the empty sacks for storing grain, dry them in dry air and store them in the barn. The more airtight the barn can be, the less oxygen the worms can reproduce"
25,ଧାନ ରୁଆ ର କେତେ ଦିନ ପରେ ସାର ମରା ଯାଏ ଏବଂ ତାର ର କେତେ ଦିନ ପରେ ଘାସ ମରା ଔଷଧ ପ୍ରୟୋଗ କରା ଯାଏ। ,How many days after harvesting the fertilizer is applied and how many days after the wire is applied the herbicide.,Fertilizer Management,Weed Management,"ଧାନ ରୋଇବା ସମୟରେ ପ୍ରତି ଏକର ଜମିରେ 35 କେଜି ଡ଼ିଏପି ସାର, 18 କେଜି ପଟାସ ସାର ଓ 8 କେଜି ୟୁରିଆ ସାର ପ୍ରୟୋଗ କରା ଯାଏ ଯଦି ଏହି ସାର ଦେଇପାରିନାହାନ୍ତି ତେବେ ଧାନ ରୋଇବାର 7 ରୁ 10 ଦିନ ମଧ୍ୟରେ ଏହି ମୂଳ ସାର ପ୍ରୟୋଗ କରି ପାରିବେ। ଧାନ ରୋଇବାର 3 ରୁ 5 ଦିନ ପରେ ପ୍ରେଟିଲାକ୍ଲୋର ଯାହାକି ରିଫିଟ ବା କ୍ରେଜ ନାମରେ ମିଳୁଛି 600 ମିଲି ଏକର ପିଛା ପ୍ରୟୋଗ କରନ୍ତୁ। ଜମି କାଦୁଅ ଅବସ୍ଥାରେ ଥିଲେ ଘାସମରା ଔଷଧ କୁ  20 କେଜି ବାଲି ରେ ମିଶାଇ ଜମି ରେ ସମାନ ଭାବରେ ବୁଣନ୍ତୁ ନଚେତ 200 ଲିଟର ପାଣିରେ ମିଶାଇ ସିଂଚନ କରନ୍ତୁ ।ଏହାର ଦୁଇ ଦିନ ପରେ ଜମିରେ ଜଳସେଚନ କରନ୍ତୁ। ","At the time of paddy sowing, 35 kg of DAP fertilizer, 18 kg of potash fertilizer and 8 kg of urea fertilizer are applied per acre. Apply 600 ml per acre of Pretilachlor available as Refit or Craze 3 to 5 days after sowing. If the land is muddy, mix the herbicide with 20 kg of sand and sow it evenly on the land, otherwise, mix it with 200 liters of water and irrigate it. After two days, irrigate the land."
26,ଧାନ ଫସଲରେ ଦ୍ଵିତୀୟ ସାର ସହିତ ଆଗ୍ରୋମିନ ମ୍ୟାକ୍ସ (Agromin Max) ବ୍ୟବହାର କରିଲେ ହେବ କି? ,Should Agromin Max be used with secondary fertilizers in paddy crops?,Crop Growth management,,"ଆପଣଙ୍କ ପ୍ରଶ୍ନ ଥିଲା ଧାନ ରେ ଆଗ୍ରୋମିନ ମ୍ୟାକ୍ସ (Agromin max) ପକେଇବାକୁ ଚହୁଁଛନ୍ତି, ତେବେ ଜାଣି ରଖନ୍ତୁ ଆଗ୍ରୋମିନ ମ୍ୟାକ୍ସ ଏକ ମିଶ୍ରିତ ଅଣୂସାର ଅଟେ, ପିଲ ସାର ଦେଲା ବେଳେ ଧାନ ଫସଲ ରେ ଏହି ମିଶ୍ରିତ ଅଣୂସାର ଆଗ୍ରୋମିନ ମ୍ୟାକ୍ସ କୁ 4 କେଜି ଏକର ଜମିରେ ପ୍ରୟୋଗ କରିପାରିବେ ଯାହାଦ୍ୱାରା ଭଲ ଅମଳ ମିଳିଥାଏ । ","Your question was if you want to apply Agromin max in paddy, then know that Agromin max is a mixed formula, you can apply this mixed formula Agromin max in paddy crop at 4 kg per acre, so that you get good yield."
27,ଧାନ ଫସଲ ରେ କାଣ୍ଡବିନ୍ଧା ପୋକ ଲାଗିଛି। ଏହାକୁ କେମିତି ଦମନ କରିବି?,The rice crop is affected by the sugarcane borer. How to suppress it?,Pest and Disease management,Stemborer ,"ଆପଣ ଧାନ ରେ କାଣ୍ଡବିନ୍ଧା ପୋକ ର ନିୟନ୍ତ୍ରଣ କେମିତି କରିବେ ଜାଣିବାକୁ ଚାହିଁଥିଲେ। କାଣ୍ଡବିନ୍ଧା ପୋକ ମୁଖ୍ୟତଃ ପିଲ ହେବା ଅବସ୍ଥା  କିମ୍ବା ରୋଇବାର 20-25 ଦିନ ପରେ ଲାଗି ଥାଏ। କାଣ୍ଡବିନ୍ଧା ପୋକ ର ନିୟନ୍ତ୍ରଣ ପାଇଁ Chlorantraniliprole 18.5% SC କୀଟନାଶକ ଯାହାକି Coragen କିମ୍ବା Cover କିମ୍ବା Rise ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 5 ମିଲିଲିଟର ପ୍ରତି 15 ଲିଟର ପାଣି ରେ କିମ୍ବା  Cartap hydrochloride 50% SP କୀଟନାଶକ ଯାହାକି Caldan ବା Padan ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ କିମ୍ବା Fipronil 5% SC କୀଟନାଶକ ଯାହାକି Surgent SC ବା Regent ନାମରେ ମିଳୁଛି ସେ ଔଷଧ କୁ 30 ମିଲିଲିଟରେ ପ୍ରତି 15 ଲିଟରେ ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ। ଔଷଧ କୁ ଗଛ ମୂଳ କୁ ଭଲ ଭାବରେ ସିଂଚନ କରି ପାରିବେ। । ଯଦି ଔଷଧ ସିଂଚନ କରିବା ସୁବିଧା ହେଉନି ତେବେ Cartap hydrochloride 4G ଦାନାଦାର ବିଷ ଏକର ପିଛା 8 କେଜି କୁ  20 କେଜି ବାଲି ରେ ମିଶାଇ ପ୍ରୟୋଗ କରନ୍ତୁ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ। ","You want to know how to control corn borer. Cutworms are mainly attached at hatching stage or after 20-25 days of hatching. Chlorantraniliprole 18.5% SC insecticide available as Coragen or Cover or Rise at 5 ml per 15 liters of water or Cartap hydrochloride 50% SP insecticide as Caldan or Padan at 30 g per 15 liters of water for control of cankerworms. Re or Fipronil 5% SC insecticide available as Surgent SC or Regent can be sprayed with 30 ml per 15 liters of water. The medicine can be applied well to the root of the tree. . If spraying is not convenient then apply Cartap hydrochloride 4G granular poison at the rate of 8 kg per acre mixed with 20 kg of sand. Remember, medicinal irrigation requires 200 liters of water per acre."
28,ମୋ ଧାନ ବିଲରେ ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ଲାଗିଛି। ଏହା କୁ ନିୟନ୍ତ୍ରଣ କେମିତି କରିବା?,have earthworms in my paddy field. How to control it?,Pest and Disease management,Brown Plant Hopper,"ଆପଣ ଧାନ ରେ ଗୁଣ୍ଡି ପୋକ ଲାଗିଛି ଏବଂ ଏହା କୁ କେମିତି ନିୟନ୍ତ୍ରଣ କରିବେ ଜାଣିବାକୁ ଚାହିଁ ଥିଲେ। ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ର ନିୟନ୍ତ୍ରଣ ପାଇଁ ପ୍ରଥମେ ଜମିରୁ ପାଣି ନିଷ୍କାସନ କରନ୍ତୁ। ଆପଣ ମାଟିଆ ଗୁଣ୍ଡି ପୋକ ର ନିୟନ୍ତ୍ରଣ ପାଇଁ Pymetrozine 50% WG ଔଷଧ ଯାହାକି Chess ନା ରେ ମିଳୁଛି 10 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Flonicamide 50%WG ଔଷଧ ଯାହାକି Ulala ନା ରେ ମିଳୁଛି 4.5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ କିମ୍ବା Dinotefuran 20%SG ଔଷଧ ଯାହାକି Osheen ବା Token ନା ରେ ମିଳୁଛି 5 ଗ୍ରାମ ପ୍ରତି 15 ଲିଟର ପାଣି ରେ ମିଶାଇ ସିଂଚନ କରି ପାରିବେ। ମନେ ରଖନ୍ତୁ, ଔଷଧ ସିଂଚନ ପାଇଁ ଏକର ପ୍ରତି 200 ଲିଟର ପାଣି ଆବଶ୍ୟକ ପଡି ଥାଏ ।","You want to know about corn borer infestation and how to control it. To control earthworms, first drain the soil. For control of earthworms you can use Pymetrozine 50% WG in Chess No. 10g per 15 liters of water or Flonicamide 50%WG in Ulala No. 4.5g per 15 liters of water or Dinotefuran 20%SG in 15 liters of water. Which is found in Osheen or Token Na, 5 grams per 15 liters of water can be sprinkled. Remember, 200 liters of water per acre is required for medicinal irrigation."
